answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Helium (He)</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph""><img align=""middle"" alt=""Image of the Periodic Table of the Elements. The following elements are circled: Under group IIB, element 30 - Zinc; under group VB, element 7 - Nitrogen; under group VIIB, element 17 - Chlorine; under group VIIIB, Element 2 - Helium, and Element 18 - Argon."" height=""443"" src=""./SciHard_files/ItemResource"" title=""Image of the Periodic Table of the Elements. The following elements are circled: Under group IIB, element 30 - Zinc; under group VB, element 7 - Nitrogen; under group VIIB, element 17 - Chlorine; under group VIIIB, Element 2 - Helium, and Element 18 - Argon."" width=""626""/></div><div class=""paragraph"">Based on its location on the partial periodic table shown above, which element would you predict has chemical properties that are most similar to argon (Ar)?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Chlorine (Cl)</span></span></div>
<div>B. <span class=""itemtext""><span>Helium (He)</span></span></div>
<div>C. <span class=""itemtext""><span>Nitrogen (N)</span></span></div>
<div>D. <span class=""itemtext""><span>Zinc (Zn)</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #4 K156701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Portions of the plates get stuck and then suddenly loosen and move.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph"">The diagram below shows the movement of the Pacific and North American plates along the San Andreas fault located in California.</div><div class=""paragraph""><img align=""middle"" alt=""Image of the map of California. Near the coastline on the map is drawn a dotted line labeled San Andreas Fault. To the left of the fault line is labeled Pacific Plate; to the right is labeled North American Plate."" height=""406"" src=""./SciHard_files/ItemResource(1)"" title=""Image of the map of California. Near the coastline on the map is drawn a dotted line labeled San Andreas Fault. To the left of the fault line is labeled Pacific Plate; to the right is labeled North American Plate."" width=""352""/></div><div class=""paragraph"">Why do earthquakes occur near the San Andreas fault?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>One plate slowly pushes the other plate up.</span></span></div>
<div>B. <span class=""itemtext""><span>A trench is created as one plate slides under the other plate.</span></span></div>
<div>C. <span class=""itemtext""><span>Portions of the plates get stuck and then suddenly loosen and move.</span></span></div>
<div>D. <span class=""itemtext""><span>One plate pushes hard enough to reverse the motion of the other plate.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #9 K120101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Pour all of the water from Cup 1 into Cup 2 to see if the water completely fills Cup 2 without spilling over</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph"">A student wants to know whether two cups hold the same volume of water. The two cups have different weights (masses).</div><div class=""paragraph""><img align=""middle"" alt="""" height=""253"" src=""./SciHard_files/ItemResource(2)"" title="""" width=""341""/></div><div class=""paragraph"">The student completely fills Cup 1 with water. The student wants to measure if Cup 2 holds the same volume of water.</div><div class=""paragraph"">What should the student do next to complete the measurements?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Completely fill Cup 2 with water and then look at the cups side by side</span></span></div>
<div>B. <span class=""itemtext""><span>Pour half of the water from Cup 1 into Cup 2, weigh each cup and then compare their weights</span></span></div>
<div>C. <span class=""itemtext""><span>Pour all of the water from Cup 1 into Cup 2 to see if the water completely fills Cup 2 without spilling over</span></span></div>
<div>D. <span class=""itemtext""><span>Completely fill Cup 2 with water, weigh each filled cup, and then compare the weights</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #12 K077001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The erosion of the walls of a canyon</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph"">Roger poured water over a pile of sand. Some of the sand washed away. This process is similar to which of the following?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The eruption of a volcano</span></span></div>
<div>B. <span class=""itemtext""><span>The erosion of the walls of a canyon</span></span></div>
<div>C. <span class=""itemtext""><span>The uplifting of mountain ranges</span></span></div>
<div>D. <span class=""itemtext""><span>The forming of dunes or mounds in a desert</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #2 K154301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Connect the steel nails with a short piece of wire.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Image shows an electrical circuit. At the top is a battery. It is connected to a light bulb. The lightbulb is also connected to a nail hammered into a piece of wood. A wire connects another nail in the piece of wood to the battery."" height=""369"" src=""./SciHard_files/ItemResource(3)"" title=""Image shows an electrical circuit. At the top is a battery. It is connected to a light bulb. The lightbulb is also connected to a nail hammered into a piece of wood. A wire connects another nail in the piece of wood to the battery."" width=""599""/></div></div><div class=""paragraph"">A student tried to connect an electrical circuit as shown above.</div><div class=""paragraph"">The lightbulb did not light up. What can the student do to make the lightbulb light up?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Connect a second battery to the first battery.</span></span></div>
<div>B. <span class=""itemtext""><span>Replace the wires with thicker wires.</span></span></div>
<div>C. <span class=""itemtext""><span>Replace the steel nails with aluminum nails.</span></span></div>
<div>D. <span class=""itemtext""><span>Connect the steel nails with a short piece of wire.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #13 K107601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>At noon on a winter day</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. <div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Image clouds in the sky above the horizon. The horizon is indicated by a curved line at the bottom of the image. There are two clouds in the sky, one on either side of the image. Point X is at the top in the middle of the page, between the 2 clouds. Point Y is an inch or so below Point X."" height=""244"" src=""./SciHard_files/ItemResource(4)"" title=""Image clouds in the sky above the horizon. The horizon is indicated by a curved line at the bottom of the image. There are two clouds in the sky, one on either side of the image. Point X is at the top in the middle of the page, between the 2 clouds. Point Y is an inch or so below Point X."" width=""587""/></div></div><div class=""paragraph"">Point <span class=""stressed_text_2"">X</span> in the diagram above shows the highest point above the horizon that the Sun reaches in the spring at noon.</div><div class=""paragraph"">When is the Sun's position most likely to be at point <span class=""stressed_text_2"">Y</span>?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>In the afternoon on a winter day</span></span></div>
<div>B. <span class=""itemtext""><span>In the afternoon on a summer day</span></span></div>
<div>C. <span class=""itemtext""><span>At noon on a winter day</span></span></div>
<div>D. <span class=""itemtext""><span>At noon on a summer day</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #4 K156301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>To the right</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following information.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">Meg designs an experiment to see which of three types of sneakers provides the most friction.</div><div class=""paragraph"">She uses the equipment listed below.<ol><li>Sneaker 1</li><li>Sneaker 2</li><li>Sneaker 3</li><li>Spring scale</li></ol></div><div class=""paragraph"">She uses the setup illustrated below and pulls the spring scale to the left<div class=""paragraph""><img align=""middle"" alt=""Image of a rectangle labeled “gym floor.” The four lines of the rectangle are labeled “to the left,” “upward,” “to the right,” and “downward.” In the center of the rectangle are images of a spring scale, on the left side of the rectangle, and a shoe, labeled “sneaker 1,” on the right side of the rectangle. A string extends from the scale to the sneaker. "" height=""234"" src=""./SciHard_files/ItemResource(5)"" title=""Image of a rectangle labeled “gym floor.” The four lines of the rectangle are labeled “to the left,” “upward,” “to the right,” and “downward.” In the center of the rectangle are images of a spring scale, on the left side of the rectangle, and a shoe, labeled “sneaker 1,” on the right side of the rectangle. A string extends from the scale to the sneaker. "" width=""670""/></div></div></div></div><br>7. <div class=""paragraph"">In what direction does the force of friction act?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>To the left</span></span></div>
<div>B. <span class=""itemtext""><span>To the right</span></span></div>
<div>C. <span class=""itemtext""><span>Upward</span></span></div>
<div>D. <span class=""itemtext""><span>Downward</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-8S10 #11 K116001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img alt=""239 over 94 Pu plus 1 over 0 n yields 137 over 52 Te plus 100 over 42 Mo plus 3 times 1 over 0 n"" height=""23"" src=""./SciHard_files/ItemResource(10)"" title=""239 over 94 Pu plus 1 over 0 n yields 137 over 52 Te plus 100 over 42 Mo plus 3 times 1 over 0 n"" width=""267""/></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph"">Which of the following is an example of a nuclear fission reaction?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""8 over 4 Be plus 4 over 2 He yields 12 over 6 C"" height=""23"" src=""./SciHard_files/ItemResource(6)"" title=""8 over 4 Be plus 4 over 2 He yields 12 over 6 C"" width=""143""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""234 over 90 Th yields 234 over 91 Pa plus 0 over negative 1 e"" height=""23"" src=""./SciHard_files/ItemResource(7)"" title=""234 over 90 Th yields 234 over 91 Pa plus 0 over negative 1 e"" width=""181""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""27 over 13 Al plus 4 over 2 He yields 30 over 15 P plus 1 over 0 n"" height=""23"" src=""./SciHard_files/ItemResource(8)"" title=""27 over 13 Al plus 4 over 2 He yields 30 over 15 P plus 1 over 0 n"" width=""183""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""239 over 94 Pu plus 1 over 0 n yields 137 over 52 Te plus 100 over 42 Mo plus 3 times 1 over 0 n"" height=""23"" src=""./SciHard_files/ItemResource(9)"" title=""239 over 94 Pu plus 1 over 0 n yields 137 over 52 Te plus 100 over 42 Mo plus 3 times 1 over 0 n"" width=""267""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #2 K133701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>It would be one-fourth as strong as it is now.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. <div class=""paragraph"">If the Sun were twice as far away from Earth as it is now, what would happen to the strength of the gravitational force between the Sun and Earth?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>It would be the same strength as it is now.</span></span></div>
<div>B. <span class=""itemtext""><span>It would be two times as strong as it is now.</span></span></div>
<div>C. <span class=""itemtext""><span>It would be one-half as strong as it is now.</span></span></div>
<div>D. <span class=""itemtext""><span>It would be one-fourth as strong as it is now.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S9 #13 K138201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The water is exerting an upward force on the cork.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. <div class=""paragraph"">When a cork is added to a glass of water, the cork floats at the top of the water instead of sinking to the bottom of the glass. Which statement helps explain why this happens?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The cork absorbs the water, so it cannot sink.</span></span></div>
<div>B. <span class=""itemtext""><span>The water is exerting an upward force on the cork.</span></span></div>
<div>C. <span class=""itemtext""><span>The water stops the force of gravity from acting on the cork.</span></span></div>
<div>D. <span class=""itemtext""><span>The density of the cork is greater than that of the water.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-12S10 #1 K118201</span></div></div>"
