answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img alt=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the open side, a small square is drawn halfway down the paper, with one side of the square being the opening."" height=""78px"" src=""./MathMed_files/ItemResource(5)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the open side, a small square is drawn halfway down the paper, with one side of the square being the opening."" width=""146px""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph""><img align=""middle"" alt=""Image of a block letter “H”."" height=""115px"" src=""./MathMed_files/ItemResource"" title=""Image of a block letter “H”."" width=""115px""/></div>Which figure below, when cut on the dotted lines and unfolded, will look like the figure shown above?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""A piece of paper has been folded in half lengthwise to create a vertical rectangle. The fold is on the right side. On the folded side, a small rectangle is drawn halfway down the paper, with one side of the rectangle being the fold. "" height=""146px"" src=""./MathMed_files/ItemResource(1)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A piece of paper has been folded in half lengthwise to create a vertical rectangle. The fold is on the right side. On the folded side, a small rectangle is drawn halfway down the paper, with one side of the rectangle being the fold. "" width=""80px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""A piece of paper has been folded in half lengthwise to create a vertical rectangle. The fold is on the right side. On the open side, two small rectangles are drawn equidistant from each other, with one side of each rectangle being the open side."" height=""146px"" src=""./MathMed_files/ItemResource(2)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A piece of paper has been folded in half lengthwise to create a vertical rectangle. The fold is on the right side. On the open side, two small rectangles are drawn equidistant from each other, with one side of each rectangle being the open side."" width=""79px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the open side, a small square is drawn halfway down the paper, with one side of the square being the opening."" height=""78px"" src=""./MathMed_files/ItemResource(3)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the open side, a small square is drawn halfway down the paper, with one side of the square being the opening."" width=""146px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the folded side, a small square is drawn halfway down the paper, with one side of the square being the fold."" height=""78px"" src=""./MathMed_files/ItemResource(4)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A piece of paper has been folded in half lengthwise to create a horizontal rectangle. The fold is on the top side. On the folded side, a small square is drawn halfway down the paper, with one side of the square being the fold."" width=""146px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #4 M145501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img alt=""9/5"" height=""28px"" src=""./MathMed_files/ItemResource(11)"" style=""padding: 0px !important; vertical-align:middle;"" title=""9/5"" width=""6px""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <img align=""middle"" alt=""2/5 plus 3/5 plus 4/5 equals"" height=""28px"" src=""./MathMed_files/ItemResource(6)"" title=""2/5 plus 3/5 plus 4/5 equals"" width=""68px""/></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""7/5"" height=""27px"" src=""./MathMed_files/ItemResource(7)"" style=""padding: 0px !important; vertical-align:middle;"" title=""7/5"" width=""6px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""8/5"" height=""28px"" src=""./MathMed_files/ItemResource(8)"" style=""padding: 0px !important; vertical-align:middle;"" title=""8/5"" width=""6px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""9/5"" height=""28px"" src=""./MathMed_files/ItemResource(9)"" style=""padding: 0px !important; vertical-align:middle;"" title=""9/5"" width=""6px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""9/15"" height=""28px"" src=""./MathMed_files/ItemResource(10)"" style=""padding: 0px !important; vertical-align:middle;"" title=""9/15"" width=""12px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #9 M146001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Nina</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. Kim, Les, Mario, and Nina each had a string 10 feet long.<div class=""paragraph"">Kim cut hers into fifths.</div><div class=""paragraph"">Les cut his into fourths.</div><div class=""paragraph"">Mario cut his into sixths.</div><div class=""paragraph"">Nina cut hers into thirds.</div><div class=""paragraph"">After the cuts were made, who had the longest pieces of string?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Kim</span></span></div>
<div>B. <span class=""itemtext""><span>Les</span></span></div>
<div>C. <span class=""itemtext""><span>Mario</span></span></div>
<div>D. <span class=""itemtext""><span>Nina</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #9 M136401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span><img alt=""46 degrees"" height=""20px"" src=""./MathMed_files/ItemResource(17)"" style=""padding: 0px !important; vertical-align:middle;"" title=""46 degrees"" width=""22px""/></span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Image of a thermometer, marked from 0 degrees to 90 degrees in tick marks of 2 degree increments between every 10 degrees. Mercury is colored in gray and stops 3 tick marks above 40 degrees."" class=""inln_img"" height=""421px"" src=""./MathMed_files/ItemResource(12)"" title=""Image of a thermometer, marked from 0 degrees to 90 degrees in tick marks of 2 degree increments between every 10 degrees. Mercury is colored in gray and stops 3 tick marks above 40 degrees."" width=""116px""/></div></div>What temperature does the thermometer show?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""43 degrees"" height=""20px"" src=""./MathMed_files/ItemResource(13)"" style=""padding: 0px !important; vertical-align:middle;"" title=""43 degrees"" width=""22px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""46 degrees"" height=""20px"" src=""./MathMed_files/ItemResource(14)"" style=""padding: 0px !important; vertical-align:middle;"" title=""46 degrees"" width=""22px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""52 degrees"" height=""20px"" src=""./MathMed_files/ItemResource(15)"" style=""padding: 0px !important; vertical-align:middle;"" title=""52 degrees"" width=""22px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""54 degrees"" height=""20px"" src=""./MathMed_files/ItemResource(16)"" style=""padding: 0px !important; vertical-align:middle;"" title=""54 degrees"" width=""22px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #13 M136801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img alt=""Image of a number line beginning at 1 and ending at 6. Above number 3 on the line are 4 marks; above number 6 on the line are 2 marks."" height=""150px"" src=""./MathMed_files/ItemResource(23)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a number line beginning at 1 and ending at 6. Above number 3 on the line are 4 marks; above number 6 on the line are 2 marks."" width=""234px""/></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Bar graph labeled Family Members. The X axis lists student names; the Y axis lists number of family members and ranges from 1 to 6. The bar for Ty stops at 3; the bar for Mark stops at 3; the bar for Ahmed stops at 3; the Sam stops at 6; the bar for Joe stops at 3; and the bar for Bob stops at 6."" class=""inln_img"" height=""218px"" src=""./MathMed_files/ItemResource(18)"" title=""Bar graph labeled Family Members. The X axis lists student names; the Y axis lists number of family members and ranges from 1 to 6. The bar for Ty stops at 3; the bar for Mark stops at 3; the bar for Ahmed stops at 3; the Sam stops at 6; the bar for Joe stops at 3; and the bar for Bob stops at 6."" width=""357px""/></div></div>The graph above shows the number of family members for six students. Which graph below is the best summary of the data?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Image of a graph labeled Family Members consisting of an X and Y axis. Plotted on the graph are three columns of circles. Each circle represents 2 people. The first column has 6 full circles. The second column has 3 full circles and 3 half circles. The third column has 3 full circles."" height=""175px"" src=""./MathMed_files/ItemResource(19)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a graph labeled Family Members consisting of an X and Y axis. Plotted on the graph are three columns of circles. Each circle represents 2 people. The first column has 6 full circles. The second column has 3 full circles and 3 half circles. The third column has 3 full circles."" width=""215px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Image of a graph labeled Family Members. The X axis has unlabeled tick marks; the Y axis has tick marks labeled from 1 to 6. On the graph, points have been marked at 2 and 6 on the Y axis across the X axis and connected to each other in a zigzag pattern. "" height=""177px"" src=""./MathMed_files/ItemResource(20)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a graph labeled Family Members. The X axis has unlabeled tick marks; the Y axis has tick marks labeled from 1 to 6. On the graph, points have been marked at 2 and 6 on the Y axis across the X axis and connected to each other in a zigzag pattern. "" width=""213px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""Image of a pie chart labeled family members. Pie segments are labeled 1, 2, 3, 4, 5, 6, with segment 1 being the smallest in size and the other segments incrementally larger up to segment 6, the largest."" height=""201px"" src=""./MathMed_files/ItemResource(21)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a pie chart labeled family members. Pie segments are labeled 1, 2, 3, 4, 5, 6, with segment 1 being the smallest in size and the other segments incrementally larger up to segment 6, the largest."" width=""166px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Image of a number line beginning at 1 and ending at 6. Above number 3 on the line are 4 marks; above number 6 on the line are 2 marks."" height=""150px"" src=""./MathMed_files/ItemResource(22)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a number line beginning at 1 and ending at 6. Above number 3 on the line are 4 marks; above number 6 on the line are 2 marks."" width=""234px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #15 M137001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>     568</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. Divide:<img alt=""15,336 divided by 27"" height=""45px"" src=""./MathMed_files/ItemResource(24)"" style=""padding-top:0px; padding-bottom:3px; vertical-align:middle;"" title=""15,336 divided by 27"" width=""117px""/></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>         0.00176</span></span></div>
<div>B. <span class=""itemtext""><span>       56.78</span></span></div>
<div>C. <span class=""itemtext""><span>     568</span></span></div>
<div>D. <span class=""itemtext""><span>17,605</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #4 M157101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Each OUTPUT number is two times the INPUT number.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. <div class=""paragraph""><div class=""paragraph"" style=""margin-left:65px;"">INPUT-OUTPUT TABLE</div><table border=""1"" cellpadding=""5"" style=""text-align:center; border-collapse:collapse; margin-left:40px;"" width=""200""><tbody><tr><th scope=""col""><span class=""stressed_text_1"">INPUT</span></th><th scope=""col""><span class=""stressed_text_1"">OUTPUT</span></th></tr><tr><td>0</td><td>0</td></tr><tr><td>1</td><td>2</td></tr><tr><td>2</td><td>4</td></tr><tr><td>3</td><td>6</td></tr></tbody></table></div>Which rule works for every pair of numbers in the INPUT-OUTPUT table?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Each OUTPUT number is equal to the INPUT number.</span></span></div>
<div>B. <span class=""itemtext""><span>Each OUTPUT number is one more than the INPUT number.</span></span></div>
<div>C. <span class=""itemtext""><span>Each OUTPUT number is two more than the INPUT number.</span></span></div>
<div>D. <span class=""itemtext""><span>Each OUTPUT number is two times the INPUT number.</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #5 M160201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Each shape is a quadrilateral.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Four shapes in a row: a square, a trapezoid, a rectangle, and a diamond."" class=""inln_img"" height=""89px"" src=""./MathMed_files/ItemResource(25)"" title=""Four shapes in a row: a square, a trapezoid, a rectangle, and a diamond."" width=""404px""/></div></div>Which statement is true about all four shapes shown?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Each shape is a rectangle.</span></span></div>
<div>B. <span class=""itemtext""><span>Each shape is a quadrilateral.</span></span></div>
<div>C. <span class=""itemtext""><span>Each shape has two pairs of parallel sides.</span></span></div>
<div>D. <span class=""itemtext""><span>Each shape has one or more right angles.</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #6 M158601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Midnight</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. <div class=""paragraph""><div class=""paragraph"">The fourth graders voted for a name for their pet. The graph shows the result of the vote.</div><div class=""stdaln_img""><img alt=""Bar graph labeled Votes for Pet Name. The X axis lists pet names; the Y axis lists number of votes and ranges from 0 to 20 in increments of 2.     The bar for Midnight goes to 15; the bar for Cocoa goes to 17; the bar for Buttons goes to 18; and the bar for Speedy goes to 18."" class=""inln_img"" height=""282px"" src=""./MathMed_files/ItemResource(26)"" title=""Bar graph labeled Votes for Pet Name. The X axis lists pet names; the Y axis lists number of votes and ranges from 0 to 20 in increments of 2.     The bar for Midnight goes to 15; the bar for Cocoa goes to 17; the bar for Buttons goes to 18; and the bar for Speedy goes to 18."" width=""280px""/></div></div>The students voted a second time. For the second vote, 4 students changed their vote from Buttons to Midnight. All other students voted for the same name they voted for the first time. Which name had the most votes the second time?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Midnight</span></span></div>
<div>B. <span class=""itemtext""><span>Cocoa</span></span></div>
<div>C. <span class=""itemtext""><span>Buttons</span></span></div>
<div>D. <span class=""itemtext""><span>Speedy</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #9 M157201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Trapezoid</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. Pablo connected points, with straight lines, in the following order:<div class=""paragraph"">       <span class=""inline-variable"">A</span> to <span class=""inline-variable"">B</span></div><div class=""paragraph"">       <span class=""inline-variable"">B</span> to <span class=""inline-variable"">C</span></div><div class=""paragraph"">       <span class=""inline-variable"">C</span> to <span class=""inline-variable"">D</span></div><div class=""paragraph"">       <span class=""inline-variable"">D</span> to <span class=""inline-variable"">A</span></div><img alt=""Image of a square 7 by 7 block grid. Points are marked at the following coordinates:   Point A: (1, 3)   Point B: (2, 5)   Point C: (4, 5)   Point D: (5, 3)   Point E: (4, 2)"" class=""inln_img"" height=""152px"" src=""./MathMed_files/ItemResource(27)"" title=""Image of a square 7 by 7 block grid. Points are marked at the following coordinates:   Point A: (1, 3)   Point B: (2, 5)   Point C: (4, 5)   Point D: (5, 3)   Point E: (4, 2)"" width=""157px""><div class=""paragraph"">What shape did he make?</div></img></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hexagon</span></span></div>
<div>B. <span class=""itemtext""><span>Pentagon</span></span></div>
<div>C. <span class=""itemtext""><span>Rectangle</span></span></div>
<div>D. <span class=""itemtext""><span>Trapezoid</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #10 M156801</span></div></div>"
