answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>1,800</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph"" style=""text-align:left""><img alt=""4 times 50 times 9 equals"" height=""20px"" src=""./MathEasy_files/ItemResource"" title=""4 times 50 times 9 equals"" width=""82px""/></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>   180</span></span></div>
<div>B. <span class=""itemtext""><span>   360</span></span></div>
<div>C. <span class=""itemtext""><span>1,800</span></span></div>
<div>D. <span class=""itemtext""><span>3,600</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #1 M145201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""Solid with 3 rectangular sides and 2 triangular ends"" height=""70px"" src=""./MathEasy_files/ItemResource(5)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Solid with 3 rectangular sides and 2 triangular ends"" width=""116px""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. Kyle makes a 3-dimensional shape using 3 rectangles and 2 triangles as the faces. Which of these could be his shape?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Solid with 3 rectangular sides and 2 triangular ends"" height=""70px"" src=""./MathEasy_files/ItemResource(1)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Solid with 3 rectangular sides and 2 triangular ends"" width=""116px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Solid with 3 triangular sides and 1 triangular base"" height=""113px"" src=""./MathEasy_files/ItemResource(2)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Solid with 3 triangular sides and 1 triangular base"" width=""108px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""Solid with 4 rectangular sides and 2 square ends"" height=""127px"" src=""./MathEasy_files/ItemResource(3)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Solid with 4 rectangular sides and 2 square ends"" width=""65px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Solid with 4 triangular sides and 1 square base."" height=""113px"" src=""./MathEasy_files/ItemResource(4)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Solid with 4 triangular sides and 1 square base."" width=""93px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #2 M145301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Kelly, Lorinda, and Tanya</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph"">          50-YARD-RACE<table border=""1"" cellpadding=""5"" style=""text-align:center""><tbody><tr><th scope=""col""><span class=""stressed_text_1"">Girl</span></th><th scope=""col""><span class=""stressed_text_1"">Time (seconds)</span></th></tr><tr><td>Christa</td><td>8.28</td></tr><tr><td>Kelly</td><td>7.82</td></tr><tr><td>Lorinda</td><td>7.9</td></tr><tr><td>Sonja</td><td>8.31</td></tr><tr><td>Tanya</td><td>8.2</td></tr></tbody></table></div>The table shows the times for five girls who ran a 50-yard race.<div class=""paragraph"">The goal was for each girl to run the race in less than 8.25 seconds.</div><div class=""paragraph"">Which girls met this goal?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Christa and Sonja</span></span></div>
<div>B. <span class=""itemtext""><span>Christa and Tanya</span></span></div>
<div>C. <span class=""itemtext""><span>Kelly, Lorinda, and Sonja</span></span></div>
<div>D. <span class=""itemtext""><span>Kelly, Lorinda, and Tanya</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #3 M145401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span><span class=""inline-variable"">F</span> and <span class=""inline-variable"">G</span></span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph""><img alt=""Image of 4 different triangles abutting each other on a grid. E is an equilateral triangle, F is a right triangle, G is a right triangle, and H is an isosceles triangle."" height=""241px"" src=""./MathEasy_files/ItemResource(6)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of 4 different triangles abutting each other on a grid. E is an equilateral triangle, F is a right triangle, G is a right triangle, and H is an isosceles triangle."" width=""242px""/></div>Which two figures are congruent?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><span class=""inline-variable"">E</span> and <span class=""inline-variable"">H</span></span></span></div>
<div>B. <span class=""itemtext""><span><span class=""inline-variable"">F</span> and <span class=""inline-variable"">G</span></span></span></div>
<div>C. <span class=""itemtext""><span><span class=""inline-variable"">F</span> and <span class=""inline-variable"">H</span></span></span></div>
<div>D. <span class=""itemtext""><span><span class=""inline-variable"">G</span> and <span class=""inline-variable"">H</span></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #5 M145601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img alt=""Eleven and one-half"" height=""27px"" src=""./MathEasy_files/ItemResource(10)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Eleven and one-half"" width=""25px""> inches </img></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph""><img alt=""Image of a four-sided figure created from unequal lengths."" height=""228px"" src=""./MathEasy_files/ItemResource(7)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Image of a four-sided figure created from unequal lengths."" width=""384px""><div class=""paragraph""><span class=""stressed-text-1"">Use inches for this question.</span></div></img></div>What is the perimeter of the figure?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>9 inches</span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Ten and one-half"" height=""27px"" src=""./MathEasy_files/ItemResource(8)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Ten and one-half"" width=""25px""> inches </img></span></span></div>
<div>C. <span class=""itemtext""><span>11 inches</span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Eleven and one-half"" height=""27px"" src=""./MathEasy_files/ItemResource(9)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Eleven and one-half"" width=""25px""> inches </img></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #6 M145701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Divide 1,000 by 10.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>6.  Which of these operations will give the <span class=""stressed_text_3"">smallest</span> answer? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Subtract 1 from 1,000.</span></span></div>
<div>B. <span class=""itemtext""><span>Multiply 1,000 by 1.</span></span></div>
<div>C. <span class=""itemtext""><span>Divide 1,000 by 1.</span></span></div>
<div>D. <span class=""itemtext""><span>Divide 1,000 by 10.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #7 M145801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>85° F</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. Kelly is playing outside. She is wearing shorts and a T-shirt. Which is most likely the temperature outside?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>0° F</span></span></div>
<div>B. <span class=""itemtext""><span>32° F</span></span></div>
<div>C. <span class=""itemtext""><span>85° F</span></span></div>
<div>D. <span class=""itemtext""><span>212° F</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #1 M135601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Pentagon</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph""><div class=""stdaln_img""><img alt=""Part of a shape consisting of 3 interconnected segments. The first segment at the bottom is a short, horizontal line; the second segment connected to it and is a vertical line going up; the third segment is a diagonal line connected to it and going to the left of the vertical line."" class=""inln_img"" height=""153px"" src=""./MathEasy_files/ItemResource(11)"" title=""Part of a shape consisting of 3 interconnected segments. The first segment at the bottom is a short, horizontal line; the second segment connected to it and is a vertical line going up; the third segment is a diagonal line connected to it and going to the left of the vertical line."" width=""59px""/></div></div>Part of a closed shape is shown above. When the shape is completed, which of these could it be?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Pentagon</span></span></div>
<div>B. <span class=""itemtext""><span>Rectangle</span></span></div>
<div>C. <span class=""itemtext""><span>Square</span></span></div>
<div>D. <span class=""itemtext""><span>Triangle</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #2 M135701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>There are between 12 and 13 pounds of potatoes in the bag.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. A bag of potatoes weighs 12.4 pounds. Which of the following statements is true?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>There are between 1 and 2 pounds of potatoes in the bag.</span></span></div>
<div>B. <span class=""itemtext""><span>There are between 12 and 13 pounds of potatoes in the bag.</span></span></div>
<div>C. <span class=""itemtext""><span>There are between 124 and 125 pounds of potatoes in the bag.</span></span></div>
<div>D. <span class=""itemtext""><span>There are between 1,246 and 1,247 pounds of potatoes in the bag.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #3 M135801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Bob, Tim."" height=""45px"" src=""./MathEasy_files/ItemResource(16)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Bob, Tim."" width=""302px""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. Tim, Bob, and Molly joined a club between March and July.<div class=""paragraph"">Tim joined the club after Bob.</div><div class=""paragraph"">Molly joined the club before Bob.</div><div class=""paragraph"">Which time line shows the order in which they joined the club?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Bob, Tim."" height=""45px"" src=""./MathEasy_files/ItemResource(12)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Bob, Tim."" width=""302px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Tim, Bob"" height=""45px"" src=""./MathEasy_files/ItemResource(13)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Molly, Tim, Bob"" width=""302px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Tim, Molly, Bob"" height=""45px"" src=""./MathEasy_files/ItemResource(14)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Tim, Molly, Bob"" width=""302px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Bob, Tim, Molly"" height=""45px"" src=""./MathEasy_files/ItemResource(15)"" style=""padding: 0px !important; vertical-align:middle;"" title=""Line beginning with the month 'March' and ending with 'July'. At intervals between these dates are listed the names Bob, Tim, Molly"" width=""302px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #4 M135901</span></div></div>"
