answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>2 hydrogen, 1 oxygen</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph"">What atoms combine to make up a molecule of water?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>1 hydrogen, 1 oxygen</span></span></div>
<div>B. <span class=""itemtext""><span>1 hydrogen, 2 oxygen</span></span></div>
<div>C. <span class=""itemtext""><span>2 hydrogen, 1 oxygen</span></span></div>
<div>D. <span class=""itemtext""><span>2 hydrogen, 2 oxygen</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #2 K123201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>They need energy.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph"">Which characteristic is shared by all cells?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They need energy.</span></span></div>
<div>B. <span class=""itemtext""><span>They reproduce sexually.</span></span></div>
<div>C. <span class=""itemtext""><span>They make their own food.</span></span></div>
<div>D. <span class=""itemtext""><span>They move from place to place.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #3 K119201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Chemical potential energy from their cells</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following investigation.          <div class=""prose1""><div class=""paragraph"">Some students were studying the life cycle of mosquitoes. They learned that mosquito larvae and pupae spend part of their time at the surface of water.</div><div class=""paragraph"">The students wanted to find out how a larva and pupa behaved when the jars they were in were disturbed. They put one larva and one pupa in identical tall jars of water at 20°C as shown below.</div><div class=""stdaln_img""><img alt=""Drawing shows 2 jars, each containing 50 centimeters of water. One jar has larva at the surface of the water and the other has pupa at the surface of the water."" class=""inln_img"" height=""252"" src=""./SciMed_files/ItemResource"" title=""Drawing shows 2 jars, each containing 50 centimeters of water. One jar has larva at the surface of the water and the other has pupa at the surface of the water."" width=""597""/></div><div class=""paragraph"">The students tapped on the jars when the larva and pupa were at the surface of the water. The larva and pupa dove down into the jars, and then slowly came to the surface.</div><div class=""paragraph"">The students measured the depth each larva and pupa reached and the amount of time each stayed underwater. The students repeated this step five times and calculated the average of each of their measurements.</div><div class=""paragraph"">Their results are summarized in the table below.</div><div class=""stdaln_img""><img alt=""Data table showing that after 5 trials, the average depth reached by larva was 22 centimeters and the average length of time underwater was 90 seconds. After 5 trials, the average depth reached by pupa was 38 centimeters and the average length of time underwater was 120 seconds. "" class=""inln_img"" height=""193"" src=""./SciMed_files/ItemResource(1)"" title=""Data table showing that after 5 trials, the average depth reached by larva was 22 centimeters and the average length of time underwater was 90 seconds. After 5 trials, the average depth reached by pupa was 38 centimeters and the average length of time underwater was 120 seconds. "" width=""523""/></div></div></div><br>3. <div class=""paragraph"">Larvae and pupae normally float. They must use their muscles in order to dive down through water. What type of energy is used by the muscles?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Sound energy from the air</span></span></div>
<div>B. <span class=""itemtext""><span>Thermal energy from the water</span></span></div>
<div>C. <span class=""itemtext""><span>Chemical potential energy from their cells</span></span></div>
<div>D. <span class=""itemtext""><span>Gravitational potential energy from Earth</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #13 K117006</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>The Sun</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph"">Water evaporates and falls back to Earth as rain or snow. What is the primary energy source that drives this cycle?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The wind</span></span></div>
<div>B. <span class=""itemtext""><span>The Sun</span></span></div>
<div>C. <span class=""itemtext""><span>Air pressure</span></span></div>
<div>D. <span class=""itemtext""><span>Ocean currents</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #15 K120301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Eclipses would occur every month.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph"">Earth revolves around the Sun, and the Moon revolves around Earth. The Moon's orbital path is sometimes above and sometimes below the plane of Earth's orbit, as shown in the diagram below.</div><div class=""paragraph""><img align=""middle"" alt=""Image labeled view of Sun, Earth, and Moon along plane of Earth's orbit. A straight line is shown and labeled plane of Earth's orbit. Sitting on the line near its the left end is a circle labeled Earth.A line,labeled plane of Moon's orbit,  pierces the Earth at what is labeled a 5 degree angle, and ends at a small circle labeled Moon. The circle  Moon sits on the plane of earth's orbit line in between the circle Earth and a larger circle labeled Sun."" height=""151"" src=""./SciMed_files/ItemResource(2)"" title=""Image labeled view of Sun, Earth, and Moon along plane of Earth's orbit. A straight line is shown and labeled plane of Earth's orbit. Sitting on the line near its the left end is a circle labeled Earth.A line,labeled plane of Moon's orbit,  pierces the Earth at what is labeled a 5 degree angle, and ends at a small circle labeled Moon. The circle  Moon sits on the plane of earth's orbit line in between the circle Earth and a larger circle labeled Sun."" width=""556""/></div><div class=""paragraph"">What would happen if Earth's orbit and the Moon's orbit were in the same plane?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Eclipses would occur every month.</span></span></div>
<div>B. <span class=""itemtext""><span>The Moon would not have phases.</span></span></div>
<div>C. <span class=""itemtext""><span>All sides of the Moon would be visible from Earth.</span></span></div>
<div>D. <span class=""itemtext""><span>The same side of the Moon would always face the Sun.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #16 K119601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""Photo image of a full moon; image is lit and most craters and surface features are visible."" height=""104"" src=""./SciMed_files/ItemResource(8)"" title=""Photo image of a full moon; image is lit and most craters and surface features are visible."" width=""104""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. <div class=""paragraph"">Jane sees the Moon in the sky one clear night. It looks like the following picture.</div><div class=""paragraph""><img align=""middle"" alt=""Photo image of a full moon; image is well lit and craters and surface features are visible."" height=""104"" src=""./SciMed_files/ItemResource(3)"" title=""Photo image of a full moon; image is well lit and craters and surface features are visible."" width=""104""/></div><div class=""paragraph"">What will the Moon look like three nights later if there are no clouds in the sky?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Photo image of a full moon; image is lit and most craters and surface features are visible."" height=""104"" src=""./SciMed_files/ItemResource(4)"" title=""Photo image of a full moon; image is lit and most craters and surface features are visible."" width=""104""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Photo image of the moon; the image is half lit and half dark. Some craters and surface features are visible in the lit half."" height=""104"" src=""./SciMed_files/ItemResource(5)"" title=""Photo image of the moon; the image is half lit and half dark. Some craters and surface features are visible in the lit half."" width=""104""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Image of a tiny crescent of the moon. Only the crescent is lit and no craters or surface features are visible."" height=""104"" src=""./SciMed_files/ItemResource(6)"" title=""Image of a tiny crescent of the moon. Only the crescent is lit and no craters or surface features are visible."" width=""104""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""The image is totally black."" height=""104"" src=""./SciMed_files/ItemResource(7)"" title=""The image is totally black."" width=""104""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #9 K076401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>B</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. <div class=""paragraph"">Jane sees the Moon in the sky one night.</div><div class=""paragraph""><img align=""middle"" alt=""Drawing of a house to the right of a stand of trees. The left side of the picture is labeled East and the right side is labeled West. A full moon appears in the center of the sky in between the trees and the house."" height=""200"" src=""./SciMed_files/ItemResource(9)"" title=""Drawing of a house to the right of a stand of trees. The left side of the picture is labeled East and the right side is labeled West. A full moon appears in the center of the sky in between the trees and the house."" width=""439""/></div><div class=""paragraph"">Look at the four diagrams below.</div><div class=""paragraph""><img align=""middle"" alt=""Drawing of a house to the right of a stand of trees. A full moon appears in the center of the sky in between the trees and the house."" height=""210"" src=""./SciMed_files/ItemResource(10)"" title=""Drawing of a house to the right of a stand of trees. A full moon appears in the center of the sky in between the trees and the house."" width=""304""/></div><div class=""paragraph""><img align=""middle"" alt=""Drawing of a house to the right of a stand of trees. A full moon appears in the right side the sky to the right of the house."" height=""210"" src=""./SciMed_files/ItemResource(11)"" title=""Drawing of a house to the right of a stand of trees. A full moon appears in the right side the sky to the right of the house."" width=""304""/></div><div class=""paragraph""><img align=""middle"" alt=""Drawing of a house to the right of a stand of trees. A half moon appears in the center of the sky in between the trees and the house."" height=""210"" src=""./SciMed_files/ItemResource(12)"" title=""Drawing of a house to the right of a stand of trees. A half moon appears in the center of the sky in between the trees and the house."" width=""304""/></div><div class=""paragraph""><img align=""middle"" alt=""Drawing of a house to the right of a stand of trees. A crescent moon appears in the right side the sky to the right of the house."" height=""210"" src=""./SciMed_files/ItemResource(13)"" title=""Drawing of a house to the right of a stand of trees. A crescent moon appears in the right side the sky to the right of the house."" width=""304""/></div><div class=""paragraph"">Jane stands in the same spot to observe the Moon two hours later. Which diagram shows what she will most likely see?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>A</span></span></div>
<div>B. <span class=""itemtext""><span>B</span></span></div>
<div>C. <span class=""itemtext""><span>C</span></span></div>
<div>D. <span class=""itemtext""><span>D</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #16 K080401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Water absorbs light energy.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph"">Which statement explains why light from the Sun can warm up water in a glass?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Light travels very fast.</span></span></div>
<div>B. <span class=""itemtext""><span>Light travels in straight lines.</span></span></div>
<div>C. <span class=""itemtext""><span>Water reflects light energy.</span></span></div>
<div>D. <span class=""itemtext""><span>Water absorbs light energy.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #5 K088501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The car is moving west to east.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the diagram below.<div><div class=""paragraph""></div><div class=""paragraph"">The diagram below shows the top of a toy car as it travels on a curved track. Four students, Matt, Samantha, Josh, and Ashley stand in the positions shown and watch the toy car move.<div class=""paragraph""></div><img align=""middle"" alt=""Diagram of a toy car traveling around a curved track with an open center. Samantha stands at the North part of the track; Josh at the East; and Matt at the West. Ashley stands in the open center. The car is positioned in front of Samantha going East. "" height=""433"" src=""./SciMed_files/ItemResource(14)"" title=""Diagram of a toy car traveling around a curved track with an open center. Samantha stands at the North part of the track; Josh at the East; and Matt at the West. Ashley stands in the open center. The car is positioned in front of Samantha going East. "" width=""577""/></div></div></div><br>9. <div class=""paragraph"">When the toy car is in the position shown in the diagram, what can all four students correctly conclude about the direction in which the car is moving?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The car is moving left to right.</span></span></div>
<div>B. <span class=""itemtext""><span>The car is moving right to left.</span></span></div>
<div>C. <span class=""itemtext""><span>The car is moving east to west.</span></span></div>
<div>D. <span class=""itemtext""><span>The car is moving west to east.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #7 K089702</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is on an inclined board."" height=""225"" src=""./SciMed_files/ItemResource(19)"" title=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is on an inclined board."" width=""310""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following information.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">Rafael lives near a road at the bottom of a hill. His parents are concerned that soil will wash off the hill and rocks will fall onto the road.</div><div class=""paragraph"">Rafael conducts an investigation to find out if grass growing on a hillside will help stop soil erosion.</div><div class=""paragraph"">He collects two samples of the same size and type of soil. One sample of soil has grass growing on it and the other does not. He places each sample of soil in a small tray.</div></div></div><br>10. <div class=""paragraph"">For his investigation, Rafael pours the same amount of water onto both samples of soil. He uses a large tray to collect water that may flow through the soil.</div><div class=""paragraph"">Which practice shows the best way for Rafael to set up this investigation?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is on an inclined board."" height=""225"" src=""./SciMed_files/ItemResource(15)"" title=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is on an inclined board."" width=""310""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Image shows boy watering two soil samples, one with grass and the other without. The sample with grass is on an inclined board; the sample without grass is laying flat in a tray."" height=""225"" src=""./SciMed_files/ItemResource(16)"" title=""Image shows boy watering two soil samples, one with grass and the other without. The sample with grass is on an inclined board; the sample without grass is laying flat in a tray."" width=""310""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Image shows boy watering two soil samples, one with grass and the other without. The sample with grass is laying flat in a tray; the sample without grass is on an inclined board."" height=""225"" src=""./SciMed_files/ItemResource(17)"" title=""Image shows boy watering two soil samples, one with grass and the other without. The sample with grass is laying flat in a tray; the sample without grass is on an inclined board."" width=""310""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is laying flat in a tray."" height=""225"" src=""./SciMed_files/ItemResource(18)"" title=""Image shows boy watering two soil samples, one with grass and the other without. Each sample is laying flat in a tray."" width=""310""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #10 K106601</span></div></div>"
