answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img alt=""15 plus (2 times 15)"" height=""20px"" src=""./MathHard_files/ItemResource(4)"" style=""padding: 0px !important; vertical-align:middle;"" title=""15 plus (2 times 15)"" width=""87px""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. Lisa sold 15 cups of lemonade on Saturday and twice as many on Sunday. Which expression represents the total number of cups of lemonade she sold on both days?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""15 plus 15"" height=""20px"" src=""./MathHard_files/ItemResource"" style=""padding: 0px !important; vertical-align:middle;"" title=""15 plus 15"" width=""50px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""2 times 15"" height=""20px"" src=""./MathHard_files/ItemResource(1)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 times 15"" width=""41px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""15 plus (2 times 15)"" height=""20px"" src=""./MathHard_files/ItemResource(2)"" style=""padding: 0px !important; vertical-align:middle;"" title=""15 plus (2 times 15)"" width=""87px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""2 times (15 plus 15)"" height=""20px"" src=""./MathHard_files/ItemResource(3)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 times (15 plus 15)"" width=""87px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #11 M146201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>53 mm</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>2. <div class=""paragraph""><img align=""middle"" alt=""Image of a key laying horizontally; a line underneath it indicates its length from end to end."" height=""110px"" src=""./MathHard_files/ItemResource(5)"" title=""Image of a key laying horizontally; a line underneath it indicates its length from end to end."" width=""202px""><div class=""paragraph""><span class=""stressed_text_1"">Use millimeters for this question.</span></div></img></div>What is the length of the key in millimeters (mm)?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>5 mm</span></span></div>
<div>B. <span class=""itemtext""><span>8 mm</span></span></div>
<div>C. <span class=""itemtext""><span>50 mm</span></span></div>
<div>D. <span class=""itemtext""><span>53 mm</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M3 #14 M146501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>How long Louisa was at the store</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph""><table border=""1"" width=""400""><tbody><tr><td>Louisa walked for 15 minutes from her house to Mary’s house. She spent 25 minutes at Mary’s house. She walked 10 minutes to the store. She bought groceries at the store. She walked 10 more minutes to get home.</td></tr></tbody></table></div>What one additional piece of information is needed to find how many minutes Louisa was gone from her house?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>What time Louisa left home</span></span></div>
<div>B. <span class=""itemtext""><span>How fast Louisa walked</span></span></div>
<div>C. <span class=""itemtext""><span>How far Louisa lives from Mary</span></span></div>
<div>D. <span class=""itemtext""><span>How long Louisa was at the store</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #6 M136101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span><img alt=""2 times 7 times 0 times 4"" height=""20px"" src=""./MathHard_files/ItemResource(10)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 times 7 times 0 times 4"" width=""83px""/></span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>4.  Which expression has the <span class=""stressed_text_3"">least</span> value? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""2 plus 7 plus 0 plus 4"" height=""20px"" src=""./MathHard_files/ItemResource(6)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 plus 7 plus 0 plus 4"" width=""85px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""(2 times 7) plus 0 plus 4"" height=""20px"" src=""./MathHard_files/ItemResource(7)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(2 times 7) plus 0 plus 4"" width=""97px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""2 plus (7 times zero) plus 4"" height=""20px"" src=""./MathHard_files/ItemResource(8)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 plus (7 times zero) plus 4"" width=""97px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""2 times 7 times 0 times 4"" height=""20px"" src=""./MathHard_files/ItemResource(9)"" style=""padding: 0px !important; vertical-align:middle;"" title=""2 times 7 times 0 times 4"" width=""83px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #12 M136701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img alt=""22/20"" height=""28px"" src=""./MathHard_files/ItemResource(16)"" style=""padding: 0px !important; vertical-align:middle;"" title=""22/20"" width=""12px""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>5. <div class=""paragraph""><div class=""paragraph""><img alt=""1/20, 4/20, 7/20, 10/20, 13/20, …"" class=""inln_img"" height=""28px"" src=""./MathHard_files/ItemResource(11)"" title=""1/20, 4/20, 7/20, 10/20, 13/20, …"" width=""113px""/></div></div> If the pattern shown continues, what is the first fraction in the pattern that will be <span class=""stressed_text_3"">greater</span> than 1? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""20/20"" height=""28px"" src=""./MathHard_files/ItemResource(12)"" style=""padding: 0px !important; vertical-align:middle;"" title=""20/20"" width=""12px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""21/20"" height=""28px"" src=""./MathHard_files/ItemResource(13)"" style=""padding: 0px !important; vertical-align:middle;"" title=""21/20"" width=""12px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""22/20"" height=""28px"" src=""./MathHard_files/ItemResource(14)"" style=""padding: 0px !important; vertical-align:middle;"" title=""22/20"" width=""12px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""25/20"" height=""28px"" src=""./MathHard_files/ItemResource(15)"" style=""padding: 0px !important; vertical-align:middle;"" title=""25/20"" width=""12px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M6 #16 M137101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Dunbar</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>6. <div class=""paragraph""><div class=""paragraph"">The table shows the length and the width of the gym floors in four schools.</div><div class=""paragraph"" style=""text-align:center"">GYM FLOORS</div><table align=""center"" border=""1"" cellpadding=""5"" class=""table-1"" style=""text-align:center""><tbody><tr><th scope=""col""><span class=""stressed-text-1""><span class=""stressed_text_1"">School</span></span></th><th scope=""col""><span class=""stressed-text-1""><span class=""stressed_text_1"">Length of Floor</span></span></th><th scope=""col""><span class=""stressed-text-1""><span class=""stressed_text_1"">Width of Floor</span></span></th></tr><tr><th scope=""row"">Adams</th><td> 95 ft</td><td>40 ft</td></tr><tr><th scope=""row"">Brooks</th><td> 90 ft</td><td>55 ft</td></tr><tr><th scope=""row"">Carter</th><td>100 ft</td><td>50 ft</td></tr><tr><th scope=""row"">Dunbar</th><td> 85 ft</td><td>60 ft</td></tr></tbody></table></div>Each floor is in the shape of a rectangle.<div class=""paragraph"">Which school’s gym floor has the greatest area?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Adams</span></span></div>
<div>B. <span class=""itemtext""><span>Brooks</span></span></div>
<div>C. <span class=""itemtext""><span>Carter</span></span></div>
<div>D. <span class=""itemtext""><span>Dunbar</span></span></div>
</div><div class=""calc_ques"">Did you use the calculator on this question? </div><div class=""quesId"">Question ID: <span class=""questionId"">2013-4M7 #14 M157701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""y equals 3x"" height=""20px"" src=""./MathHard_files/ItemResource(22)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 3x"" width=""44px""/></span></span></div>
</div>",A,5.0,"<div class=""questionwrapper""><div class=""question""><br>7. In which of the following equations does the value of y increase by 6 units when x increases by 2 units?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""y equals 3x"" height=""20px"" src=""./MathHard_files/ItemResource(17)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 3x"" width=""44px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""y equals 4x"" height=""20px"" src=""./MathHard_files/ItemResource(18)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 4x"" width=""44px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""y equals 6x"" height=""20px"" src=""./MathHard_files/ItemResource(19)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 6x"" width=""44px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""y equals 4x plus 2"" height=""20px"" src=""./MathHard_files/ItemResource(20)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 4x plus 2"" width=""70px""/></span></span></div>
<div>E. <span class=""itemtext""><span><img alt=""y equals 6x plus 2"" height=""20px"" src=""./MathHard_files/ItemResource(21)"" style=""padding: 0px !important; vertical-align:middle;"" title=""y equals 6x plus 2"" width=""70px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M3 #9 M150601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span><img alt=""(8,-3)"" height=""20px"" src=""./MathHard_files/ItemResource(29)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(8,-3)"" width=""51px""/></span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph""><img align=""middle"" alt=""Graph showing the X and Y axes intersecting at point O. Three points appear on the graph at the following coordinates:    Point A is at (-4, -3);   Point B is at (-2, 3);   Point C is at (3, 3)  "" height=""323px"" src=""./MathHard_files/ItemResource(23)"" title=""Graph showing the X and Y axes intersecting at point O. Three points appear on the graph at the following coordinates:    Point A is at (-4, -3);   Point B is at (-2, 3);   Point C is at (3, 3)  "" width=""325px""/></div> Which of the following coordinates of a point <span class=""stressed_text_2"">D</span> would form a trapezoid <span class=""stressed_text_2"">ABCD</span> in the figure above? </br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""(-3,1)"" height=""20px"" src=""./MathHard_files/ItemResource(24)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(-3,1)"" width=""45px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""(-3,5)"" height=""20px"" src=""./MathHard_files/ItemResource(25)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(-3,5)"" width=""45px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""(0,-2)"" height=""20px"" src=""./MathHard_files/ItemResource(26)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(0,-2)"" width=""51px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""(5,-6)"" height=""20px"" src=""./MathHard_files/ItemResource(27)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(5,-6)"" width=""51px""/></span></span></div>
<div>E. <span class=""itemtext""><span><img alt=""(8,-3)"" height=""20px"" src=""./MathHard_files/ItemResource(28)"" style=""padding: 0px !important; vertical-align:middle;"" title=""(8,-3)"" width=""51px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M6 #14 M141701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>E. <span class=""itemtext""><span>20%</span></span></div>
</div>",E,5.0,"<div class=""questionwrapper""><div class=""question""><br>9. <div class=""paragraph""><div class=""paragraph"">Helga’s process of calculating the tip to leave in a restaurant starts with the bill for food and drink.</div><ul style=""list-style-type: disc;""><li>First, she rounds the bill to the nearest ten cents.</li><li>Then she moves the decimal point in the rounded total one place to the left.</li><li>Finally, she doubles that amount.</li></ul></div>Helga’s process calculates approximately what percent of the original bill?</br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>2%</span></span></div>
<div>B. <span class=""itemtext""><span>5%</span></span></div>
<div>C. <span class=""itemtext""><span>10%</span></span></div>
<div>D. <span class=""itemtext""><span>15%</span></span></div>
<div>E. <span class=""itemtext""><span>20%</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M7 #8 M166101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img alt=""n is less than or equal to negative 2"" height=""20px"" src=""./MathHard_files/ItemResource(36)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is less than or equal to negative 2"" width=""47px""/></span></span></div>
</div>",A,5.0,"<div class=""questionwrapper""><div class=""question""><br>10.  What are all values of <span class=""inline-variable"">n</span> for which <img alt=""negative 2n is greater than or equal to n plus 6."" height=""20px"" src=""./MathHard_files/ItemResource(30)"" style=""padding: 0px !important; vertical-align:middle;"" title=""negative 2n is greater than or equal to n plus 6."" width=""81px"">  ? </img></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""n is less than or equal to negative 2"" height=""20px"" src=""./MathHard_files/ItemResource(31)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is less than or equal to negative 2"" width=""47px""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""n is greater than or equal to negative 2"" height=""20px"" src=""./MathHard_files/ItemResource(32)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is greater than or equal to negative 2"" width=""47px""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""n is greater than or equal to 0"" height=""20px"" src=""./MathHard_files/ItemResource(33)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is greater than or equal to 0"" width=""36px""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""n is less than or equal to 6"" height=""20px"" src=""./MathHard_files/ItemResource(34)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is less than or equal to 6"" width=""36px""/></span></span></div>
<div>E. <span class=""itemtext""><span><img alt=""n is greater than or equal to 6"" height=""20px"" src=""./MathHard_files/ItemResource(35)"" style=""padding: 0px !important; vertical-align:middle;"" title=""n is greater than or equal to 6"" width=""36px""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2013-8M7 #10 M164201</span></div></div>"
