answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The Himalayas increase in height each year.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>1. <div class=""paragraph"">The diagram below shows the collision of two tectonic plates in Asia.</div><div class=""paragraph""><img align=""middle"" alt=""Drawing showing the Himalaya Mountains rising out of the Tibetan Plateau. Underneath the mountains and the plateau are the Indian Plate on the left and the Eurasian Plate on the right."" height=""228"" src=""./SciEasy_files/ItemResource"" title=""Drawing showing the Himalaya Mountains rising out of the Tibetan Plateau. Underneath the mountains and the plateau are the Indian Plate on the left and the Eurasian Plate on the right."" width=""492""/></div><div class=""paragraph"">What is a result of this collision?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Volcanoes erupt periodically.</span></span></div>
<div>B. <span class=""itemtext""><span>The Tibetan Plateau slowly sinks.</span></span></div>
<div>C. <span class=""itemtext""><span>The Himalayas increase in height each year.</span></span></div>
<div>D. <span class=""itemtext""><span>Glaciers on the Tibetan Plateau melt.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #1 K119401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>It will not survive because of lack of oxygen.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the following investigation.          <div class=""prose1""><div class=""paragraph"">Some students were studying the life cycle of mosquitoes. They learned that mosquito larvae and pupae spend part of their time at the surface of water.</div><div class=""paragraph"">The students wanted to find out how a larva and pupa behaved when the jars they were in were disturbed. They put one larva and one pupa in identical tall jars of water at 20°C as shown below.</div><div class=""stdaln_img""><img alt=""Drawing shows 2 jars, each containing 50 centimeters of water. One jar has larva at the surface of the water and the other has pupa at the surface of the water."" class=""inln_img"" height=""252"" src=""./SciEasy_files/ItemResource(1)"" title=""Drawing shows 2 jars, each containing 50 centimeters of water. One jar has larva at the surface of the water and the other has pupa at the surface of the water."" width=""597""/></div><div class=""paragraph"">The students tapped on the jars when the larva and pupa were at the surface of the water. The larva and pupa dove down into the jars, and then slowly came to the surface.</div><div class=""paragraph"">The students measured the depth each larva and pupa reached and the amount of time each stayed underwater. The students repeated this step five times and calculated the average of each of their measurements.</div><div class=""paragraph"">Their results are summarized in the table below.</div><div class=""stdaln_img""><img alt=""Data table showing that after 5 trials, the average depth reached by larva was 22 centimeters and the average length of time underwater was 90 seconds. After 5 trials, the average depth reached by pupa was 38 centimeters and the average length of time underwater was 120 seconds. "" class=""inln_img"" height=""193"" src=""./SciEasy_files/ItemResource(2)"" title=""Data table showing that after 5 trials, the average depth reached by larva was 22 centimeters and the average length of time underwater was 90 seconds. After 5 trials, the average depth reached by pupa was 38 centimeters and the average length of time underwater was 120 seconds. "" width=""523""/></div></div></div><br>2. <div class=""paragraph"">Larvae have a breathing tube and must come to the surface of the water to breathe.</div><div class=""paragraph"">If a layer of an oily substance completely covers the surface of the water for several days, what will most likely happen to the larva?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>It will not survive because of lack of fresh food sources.</span></span></div>
<div>B. <span class=""itemtext""><span>It will not survive because of lack of oxygen.</span></span></div>
<div>C. <span class=""itemtext""><span>It will skip the pupa stage and hatch immediately to break out of the water.</span></span></div>
<div>D. <span class=""itemtext""><span>It will hold its breath until the oily substance naturally breaks down in the water.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2011-8S11 #12 K117005</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a frog"" height=""116"" src=""./SciEasy_files/ItemResource(7)"" title=""Drawing of a frog"" width=""96""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>3. <div class=""paragraph"">Which animal lives in water when very young and then lives on land as an adult?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of shark."" height=""107"" src=""./SciEasy_files/ItemResource(3)"" title=""Drawing of shark."" width=""173""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a snake."" height=""106"" src=""./SciEasy_files/ItemResource(4)"" title=""Drawing of a snake."" width=""211""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a frog"" height=""116"" src=""./SciEasy_files/ItemResource(5)"" title=""Drawing of a frog"" width=""96""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a penguin"" height=""176"" src=""./SciEasy_files/ItemResource(6)"" title=""Drawing of a penguin"" width=""116""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #1 K076001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a cylindrical measuring tube."" height=""200"" src=""./SciEasy_files/ItemResource(12)"" title=""Drawing of a cylindrical measuring tube."" width=""150""/></span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>4. <div class=""paragraph"">Which tool is used to measure how much rain falls during a storm?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of an outdoor  thermometer."" height=""200"" src=""./SciEasy_files/ItemResource(8)"" title=""Drawing of an outdoor  thermometer."" width=""125""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a cylindrical measuring tube."" height=""200"" src=""./SciEasy_files/ItemResource(9)"" title=""Drawing of a cylindrical measuring tube."" width=""150""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a directional weather vane."" height=""139"" src=""./SciEasy_files/ItemResource(10)"" title=""Drawing of a directional weather vane."" width=""190""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Drawing of a wind vane."" height=""322"" src=""./SciEasy_files/ItemResource(11)"" title=""Drawing of a wind vane."" width=""214""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #2 K085001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Where the birds travel</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to a bird called a warbler shown below.<div class=""prose1""><div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Drawing of a bird called a warbler."" height=""321"" src=""./SciEasy_files/ItemResource(13)"" title=""Drawing of a bird called a warbler."" width=""275""/></div></div><div class=""paragraph"">Scientists study warblers by placing small metal bands on the birds' legs. A number is stamped on the band. This number lets scientists know when and where the birds are banded.</div></div></div><br>5. <div class=""paragraph"">A scientist studying warblers captures six of them in a net. Two of the birds have bands on their legs.</div><div class=""paragraph"">What could the scientist learn from the information on the bands?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>How much food the birds eat</span></span></div>
<div>B. <span class=""itemtext""><span>Where the birds travel</span></span></div>
<div>C. <span class=""itemtext""><span>Which birds are related</span></span></div>
<div>D. <span class=""itemtext""><span>What kinds of nests the birds build</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #3 K076801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The color of the feathers blends into the birds' surroundings and helps the birds avoid predators.</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to a bird called a warbler shown below.<div class=""prose1""><div class=""paragraph""><div class=""paragraph""><img align=""middle"" alt=""Drawing of a bird called a warbler."" height=""321"" src=""./SciEasy_files/ItemResource(13)"" title=""Drawing of a bird called a warbler."" width=""275""/></div></div><div class=""paragraph"">Scientists study warblers by placing small metal bands on the birds' legs. A number is stamped on the band. This number lets scientists know when and where the birds are banded.</div></div></div><br>6. <div class=""paragraph"">There are many kinds of warblers throughout the world. One kind of warbler with black-and-white feathers is often seen on tree trunks. Another kind with golden-colored feathers is often seen in fields.</div><div class=""paragraph"">Which statement best explains how the color of these warblers helps them survive?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The color of the feathers helps the birds locate nests.</span></span></div>
<div>B. <span class=""itemtext""><span>The color of the feathers helps to control the amount of body heat the birds lose.</span></span></div>
<div>C. <span class=""itemtext""><span>The color of the feathers blends into the birds' surroundings and helps the birds avoid predators.</span></span></div>
<div>D. <span class=""itemtext""><span>The color of the feathers attracts the kinds of insects the birds like to eat.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #4 K076802</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>The sunlight making the sidewalk warmer than the air</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>7. <div class=""paragraph"">A thermometer shows that the outside air temperature is colder than the temperature at which water turns to ice. However, ice on the sidewalk melts.</div><div class=""paragraph"">What probably caused this?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The air heating the sidewalk</span></span></div>
<div>B. <span class=""itemtext""><span>The sidewalk reflecting sunlight into the air</span></span></div>
<div>C. <span class=""itemtext""><span>The wind causing the ice on the sidewalk to melt</span></span></div>
<div>D. <span class=""itemtext""><span>The sunlight making the sidewalk warmer than the air</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #6 K076601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Cat</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>8. <div class=""paragraph"">Which animal develops inside its mother before it is born alive?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Butterfly</span></span></div>
<div>B. <span class=""itemtext""><span>Cat</span></span></div>
<div>C. <span class=""itemtext""><span>Duck</span></span></div>
<div>D. <span class=""itemtext""><span>Frog</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #14 K077301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>1</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>9. <div class=""paragraph"">The diagram below shows four places on Earth. Places 1, 2, 3, and 4 are all at sea level.</div><div class=""paragraph""><img align=""middle"" alt=""Image of the earth, labeled Places on Earth, and showing the placement of the continents, the North Pole, South Pole, and the Equator. Numbers 1, 2, and 3 appear in order down from the North Pole through the center of the image; Number 3 is just above the Equator. Number 4 is written beneath number 3, but appears below the Equator."" height=""319"" src=""./SciEasy_files/ItemResource(14)"" title=""Image of the earth, labeled Places on Earth, and showing the placement of the continents, the North Pole, South Pole, and the Equator. Numbers 1, 2, and 3 appear in order down from the North Pole through the center of the image; Number 3 is just above the Equator. Number 4 is written beneath number 3, but appears below the Equator."" width=""269""/></div><div class=""paragraph"">Which place has the coldest winters?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>1</span></span></div>
<div>B. <span class=""itemtext""><span>2</span></span></div>
<div>C. <span class=""itemtext""><span>3</span></span></div>
<div>D. <span class=""itemtext""><span>4</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S7 #15 K085101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Metal</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>10. <div class=""paragraph"">Which material is the best conductor of electricity?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Wood</span></span></div>
<div>B. <span class=""itemtext""><span>Metal</span></span></div>
<div>C. <span class=""itemtext""><span>Stone</span></span></div>
<div>D. <span class=""itemtext""><span>Plastic</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2009-4S11 #1 K089601</span></div></div>"
